
# Surface 0 of 1 surfaces

# Curve title: "'outputs/function.dat' using 1:2:3"

# Contour 0, label:        0
 10.7832  6.7 -40 
 10.8744  6.58071 -40 
 10.8959  6.55 -40 
 10.983  6.4 -40 
 11.0049  6.35285 -40 
 11.0492  6.25 -40 
 11.0983  6.1 -40 
 11.133  5.95 -40 
 11.1354  5.9339 -40 
 11.1541  5.8 -40 
 11.1638  5.65 -40 
 11.1634  5.5 -40 
 11.1537  5.35 -40 
 11.1356  5.2 -40 
 11.1354  5.19878 -40 
 11.1091  5.05 -40 
 11.0755  4.9 -40 
 11.0353  4.75 -40 
 11.0049  4.65218 -40 
 10.9887  4.6 -40 
 10.9357  4.45 -40 
 10.8776  4.3 -40 
 10.8744  4.29254 -40 
 10.8133  4.15 -40 
 10.7446  4 -40 
 10.7439  3.99869 -40 
 10.6701  3.85 -40 
 10.6134  3.74219 -40 
 10.5913  3.7 -40 
 10.5078  3.55 -40 
 10.4829  3.50784 -40 
 10.4196  3.4 -40 
 10.3524  3.29082 -40 
 10.3274  3.25 -40 
 10.231  3.1 -40 
 10.222  3.08661 -40 
 10.1301  2.95 -40 
 10.0915  2.89473 -40 
 10.0254  2.8 -40 
 9.96098  2.71106 -40 
 9.91687  2.65 -40 
 9.83049  2.53473 -40 
 9.80455  2.5 -40 
 9.7  2.36495 -40 
 9.68846  2.35 -40 
 9.56951  2.20106 -40 
 9.56866  2.2 -40 
 9.44506  2.05 -40 
 9.43902  2.04291 -40 
 9.31786  1.9 -40 
 9.30854  1.88934 -40 
 9.18711  1.75 -40 
 9.17805  1.7399 -40 
 9.05285  1.6 -40 
 9.04756  1.59425 -40 
 8.91707  1.45218 -40 
 8.91508  1.45 -40 
 8.78659  1.31373 -40 
 8.77368  1.3 -40 
 8.6561  1.17834 -40 
 8.62879  1.15 -40 
 8.52561  1.04577 -40 
 8.48044  1 -40 
 8.39512  0.915783 -40 
 8.32868  0.85 -40 
 8.26463  0.788197 -40 
 8.17352  0.7 -40 
 8.13415  0.66283 -40 
 8.01499  0.55 -40 
 8.00366  0.539524 -40 
 7.87317  0.418918 -40 
 7.85273  0.4 -40 
 7.74268  0.300575 -40 
 7.68687  0.25 -40 
 7.6122  0.183906 -40 
 7.51768  0.1 -40 

-1  3.82982 -40 
-0.97018  3.85 -40 
-0.869512  3.91679 -40 
-0.744503  4 -40 
-0.739024  4.00358 -40 
-0.608537  4.08816 -40 
-0.513403  4.15 -40 
-0.478049  4.17255 -40 
-0.347561  4.25539 -40 
-0.277255  4.3 -40 
-0.217073  4.33747 -40 
-0.0865854  4.41852 -40 
-0.0357498  4.45 -40 
 0.0439024  4.49839 -40 
 0.17439  4.57762 -40 
 0.211444  4.6 -40 
 0.304878  4.65537 -40 
 0.435366  4.73273 -40 
 0.464687  4.75 -40 
 0.565854  4.80846 -40 
 0.696341  4.88391 -40 
 0.724372  4.9 -40 
 0.826829  4.95771 -40 
 0.957317  5.03121 -40 
 0.990925  5.05 -40 
 1.0878  5.10316 -40 
 1.21829  5.17468 -40 
 1.26481  5.2 -40 
 1.34878  5.24487 -40 
 1.47927  5.31436 -40 
 1.54654  5.35 -40 
 1.60976  5.38288 -40 
 1.74024  5.45031 -40 
 1.83666  5.5 -40 
 1.87073  5.51724 -40 
 2.00122  5.58258 -40 
 2.13171  5.64792 -40 
 2.13591  5.65 -40 
 2.2622  5.7112 -40 
 2.39268  5.77436 -40 
 2.44616  5.8 -40 
 2.52317  5.83624 -40 
 2.65366  5.89717 -40 
 2.76723  5.95 -40 
 2.78415  5.95773 -40 
 2.91463  6.01641 -40 
 3.04512  6.0749 -40 
 3.10177  6.1 -40 
 3.17561  6.13211 -40 
 3.3061  6.18825 -40 
 3.43659  6.24413 -40 
 3.45054  6.25 -40 
 3.56707  6.29809 -40 
 3.69756  6.35152 -40 
 3.81689  6.4 -40 
 3.82805  6.40445 -40 
 3.95854  6.4554 -40 
 4.08902  6.50594 -40 
 4.204  6.55 -40 
 4.21951  6.55583 -40 
 4.35  6.60379 -40 
 4.48049  6.65124 -40 
 4.61098  6.69814 -40 
 4.61628  6.7 -40 
 4.74146  6.74297 -40 
 4.87195  6.78712 -40 
 5.00244  6.83063 -40 
 5.06194  6.85 -40 
 5.13293  6.87266 -40 
 5.26341  6.9133 -40 
 5.3939  6.95318 -40 
 5.52439  6.99227 -40 
 5.55108  7 -40 
 5.65488  7.02945 -40 
 5.78537  7.06548 -40 
 5.91585  7.10058 -40 
 6.04634  7.13471 -40 
 6.10714  7.15 -40 
 6.17683  7.16717 -40 
 6.30732  7.19802 -40 
 6.4378  7.22775 -40 
 6.56829  7.2563 -40 
 6.69878  7.28362 -40 
 6.78143  7.3 -40 
 6.82927  7.30928 -40 
 6.95976  7.33297 -40 
 7.09024  7.35526 -40 
 7.22073  7.37605 -40 
 7.35122  7.39527 -40 
 7.48171  7.41285 -40 
 7.6122  7.42868 -40 
 7.74268  7.44266 -40 
 7.82273  7.45 -40 
 7.87317  7.45451 -40 
 8.00366  7.46407 -40 
 8.13415  7.47153 -40 
 8.26463  7.47676 -40 
 8.39512  7.47964 -40 
 8.52561  7.48002 -40 


# Contour 3, label:      -60
 11.0049  2.22759 -60 
 10.9819  2.2 -60 
 10.8744  2.07442 -60 
 10.8535  2.05 -60 
 10.7439  1.92479 -60 
 10.7223  1.9 -60 
 10.6134  1.77842 -60 
 10.588  1.75 -60 
 10.4829  1.63509 -60 
 10.4509  1.6 -60 
 10.3524  1.49458 -60 
 10.3109  1.45 -60 
 10.222  1.3567 -60 
 10.168  1.3 -60 
 10.0915  1.22128 -60 
 10.0223  1.15 -60 
 9.96098  1.08815 -60 
 9.87377  1 -60 
 9.83049  0.957179 -60 
 9.72243  0.85 -60 
 9.7  0.828221 -60 
 9.56951  0.701198 -60 
 9.56828  0.7 -60 
 9.43902  0.576817 -60 
 9.41096  0.55 -60 
 9.30854  0.454133 -60 
 9.25085  0.4 -60 
 9.17805  0.333047 -60 
 9.08798  0.25 -60 
 9.04756  0.213464 -60 
 8.92236  0.1 -60 
 8.91707  0.0952991 -60 
 8.78659 -0.0205508 -60 
 8.75348 -0.05 -60 
 8.6561 -0.134973 -60 
 8.58176 -0.2 -60 
 8.52561 -0.248204 -60 
 8.40732 -0.35 -60 
 8.39512 -0.360307 -60 
 8.26463 -0.470402 -60 
 8.2296 -0.5 -60 
 8.13415 -0.579157 -60 
 8.04894 -0.65 -60 
 8.00366 -0.68697 -60 
 7.87317 -0.793696 -60 
 7.86545 -0.8 -60 
 7.74268 -0.898388 -60 
 7.67845 -0.95 -60 
 7.6122 -1.0023 -60 
 7.48875 -1.1 -60 
 7.48171 -1.10548 -60 
 7.35122 -1.20665 -60 
 7.29542 -1.25 -60 
 7.22073 -1.30702 -60 
 7.09926 -1.4 -60 
 7.09024 -1.40679 -60 
 6.95976 -1.50464 -60 
 6.89938 -1.55 -60 
 6.82927 -1.60178 -60 
 6.69878 -1.69839 -60 
 6.6966 -1.7 -60 
 6.56829 -1.793 -60 
 6.48985 -1.85 -60 
 6.4378 -1.8872 -60 
 6.30732 -1.98046 -60 
 6.27992 -2 -60 

 8.39512  8.75507 -60 
 8.52561  8.774 -60 
 8.6561  8.79156 -60 
 8.72494  8.8 -60 
 8.78659  8.80742 -60 
 8.91707  8.82154 -60 
 9.04756  8.83412 -60 
 9.17805  8.8451 -60 
 9.30854  8.8544 -60 
 9.43902  8.86195 -60 
 9.56951  8.86765 -60 
 9.7  8.87143 -60 
 9.83049  8.87318 -60 
 9.96098  8.8728 -60 
 10.0915  8.87019 -60 
 10.222  8.86522 -60 
 10.3524  8.85778 -60 
 10.4829  8.84772 -60 
 10.6134  8.83492 -60 
 10.7439  8.8192 -60 
 10.8744  8.80041 -60 
 10.8769  8.8 -60 
 11.0049  8.77737 -60 
 11.1354  8.75065 -60 
 11.2659  8.72006 -60 
 11.3963  8.68533 -60 
 11.5144  8.65 -60 
 11.5268  8.646 -60 
 11.6573  8.59977 -60 
 11.7878  8.54811 -60 
 11.8974  8.5 -60 
 11.9183  8.49005 -60 
 12.0488  8.42228 -60 
 12.1743  8.35 -60 
 12.1793  8.34688 -60 
 12.3098  8.25771 -60 
 12.3868  8.2 -60 
 12.4402  8.15549 -60 
 12.5565  8.05 -60 
 12.5707  8.03549 -60 
 12.6933  7.9 -60 
 12.7012  7.88995 -60 
 12.804  7.75 -60 
 12.8317  7.70576 -60 
 12.8937  7.6 -60 
 12.9622  7.459 -60 
 12.9663  7.45 -60 
 13.0229  7.3 -60 
 13.0668  7.15 -60 
 13.0927  7.03054 -60 
 13.0989  7 -60 
 13.1202  6.85 -60 
 13.132  6.7 -60 
 13.1351  6.55 -60 
 13.1303  6.4 -60 
 13.1181  6.25 -60 
 13.0991  6.1 -60 
 13.0927  6.06272 -60 
 13.0733  5.95 -60 
 13.0415  5.8 -60 
 13.004  5.65 -60 
 12.9622  5.50275 -60 
 12.9614  5.5 -60 
 12.913  5.35 -60 
 12.8601  5.2 -60 
 12.8317  5.12632 -60 
 12.8024  5.05 -60 
 12.7401  4.9 -60 
 12.7012  4.81259 -60 
 12.6735  4.75 -60 
 12.6026  4.6 -60 
 12.5707  4.53625 -60 
 12.5277  4.45 -60 
 12.4491  4.3 -60 
 12.4402  4.2841 -60 
 12.3662  4.15 -60 
 12.3098  4.05199 -60 
 12.2799  4 -60 
 12.19  3.85 -60 
 12.1793  3.83279 -60 
 12.0964  3.7 -60 
 12.0488  3.6265 -60 
 11.9994  3.55 -60 
 11.9183  3.42865 -60 
 11.8992  3.4 -60 
 11.7956  3.25 -60 
 11.7878  3.23906 -60 
 11.6886  3.1 -60 
 11.6573  3.05747 -60 
 11.5785  2.95 -60 
 11.5268  2.8817 -60 
 11.4652  2.8 -60 
 11.3963  2.71124 -60 
 11.3489  2.65 -60 
 11.2659  2.54566 -60 
 11.2296  2.5 -60 
 11.1354  2.38456 -60 
 11.1072  2.35 -60 
 11.0049  2.22759 -60 

-1  4.8615 -60 
-0.940012  4.9 -60 
-0.869512  4.94454 -60 
-0.739024  5.02692 -60 
-0.702337  5.05 -60 
-0.608537  5.10808 -60 
-0.478049  5.18899 -60 
-0.460179  5.2 -60 
-0.347561  5.26834 -60 
-0.217073  5.34773 -60 
-0.213309  5.35 -60 
-0.0865854  5.42534 -60 
 0.0386271  5.5 -60 
 0.0439024  5.5031 -60 
 0.17439  5.57911 -60 
 0.295758  5.65 -60 
 0.304878  5.65525 -60 
 0.435366  5.7297 -60 
 0.55828  5.8 -60 
 0.565854  5.80427 -60 
 0.696341  5.87714 -60 
 0.826483  5.95 -60 
 0.826829  5.95019 -60 
 0.957317  6.02145 -60 
 1.0878  6.09286 -60 
 1.10096  6.1 -60 
 1.21829  6.16268 -60 
 1.34878  6.23242 -60 
 1.38193  6.25 -60 
 1.47927  6.30085 -60 
 1.60976  6.36889 -60 
 1.66975  6.4 -60 
 1.74024  6.436 -60 
 1.87073  6.50232 -60 
 1.96483  6.55 -60 
 2.00122  6.56816 -60 
 2.13171  6.63273 -60 
 2.2622  6.69728 -60 
 2.26775  6.7 -60 
 2.39268  6.76016 -60 
 2.52317  6.8229 -60 
 2.57996  6.85 -60 
 2.65366  6.88463 -60 
 2.78415  6.94555 -60 
 2.90114  7 -60 
 2.91463  7.00619 -60 
 3.04512  7.06525 -60 
 3.17561  7.12416 -60 
 3.23337  7.15 -60 
 3.3061  7.18204 -60 
 3.43659  7.23904 -60 
 3.56707  7.29584 -60 
 3.57678  7.3 -60 
 3.69756  7.35101 -60 
 3.82805  7.40583 -60 
 3.93393  7.45 -60 
 3.95854  7.46011 -60 
 4.08902  7.51292 -60 
 4.21951  7.56544 -60 
 4.30626  7.6 -60 
 4.35  7.61716 -60 
 4.48049  7.6676 -60 
 4.61098  7.71769 -60 
 4.69616  7.75 -60 
 4.74146  7.76692 -60 
 4.87195  7.81487 -60 
 5.00244  7.86239 -60 
 5.10694  7.9 -60 
 5.13293  7.90921 -60 
 5.26341  7.95452 -60 
 5.3939  7.99934 -60 
 5.52439  8.04365 -60 
 5.54352  8.05 -60 
 5.65488  8.08637 -60 
 5.78537  8.12834 -60 
 5.91585  8.16973 -60 
 6.01303  8.2 -60 
 6.04634  8.21021 -60 
 6.17683  8.24919 -60 
 6.30732  8.2875 -60 
 6.4378  8.32511 -60 
 6.52621  8.35 -60 
 6.56829  8.36165 -60 
 6.69878  8.39672 -60 
 6.82927  8.431 -60 
 6.95976  8.46447 -60 
 7.09024  8.49708 -60 
 7.10238  8.5 -60 
 7.22073  8.52794 -60 
 7.35122  8.5578 -60 
 7.48171  8.5867 -60 
 7.6122  8.61461 -60 
 7.74268  8.64148 -60 
 7.78621  8.65 -60 
 7.87317  8.66673 -60 
 8.00366  8.6906 -60 
 8.13415  8.71332 -60 
 8.26463  8.73482 -60 
 8.39512  8.75507 -60 


# Contour 4, label:      -80
